Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD ZAHID MD ARIP,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD KADIR BIN SAINUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAPT (B) AHIATUDIN BIN DAUD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
40,085/22/08,SK NENASI,2.0,349,27,285,0,25,337,12,0,LANDAI ,UNDI BIASA
41,085/22/09,SMK NENASI,1.0,262,24,202,1,25,252,10,0,NENASI ,UNDI BIASA
41,085/22/09,SMK NENASI,2.0,396,42,278,0,66,386,10,0,NENASI ,UNDI BIASA
41,085/22/09,SMK NENASI,3.0,347,34,245,0,60,339,8,0,NENASI ,UNDI BIASA
41,085/22/09,SMK NENASI,4.0,327,58,200,0,67,325,2,0,NENASI ,UNDI BIASA
42,085/22/10,SK MERCHONG JAYA,1.0,267,24,179,6,32,241,26,0,MERCHONG ,UNDI BIASA
42,085/22/10,SK MERCHONG JAYA,2.0,508,35,365,0,68,468,40,0,MERCHONG ,UNDI BIASA
42,085/22/10,SK MERCHONG JAYA,3.0,483,19,392,0,62,473,10,0,MERCHONG ,UNDI BIASA
42,085/22/10,SK MERCHONG JAYA,4.0,419,40,305,1,61,407,12,0,MERCHONG ,UNDI BIASA
42,085/22/10,SK MERCHONG JAYA,5.0,419,59,270,1,82,412,7,0,MERCHONG ,UNDI BIASA
43,085/22/11,DEWAN ORANG RAMAI KAMPUNG API LARAT,1.0,324,11,307,0,0,318,6,0,API LARAT ,UNDI BIASA
44,085/22/12,BALAI RAYA KAMPUNG SAWAH BATU,1.0,336,12,295,2,4,313,23,0,SAWAH BATU ,UNDI BIASA
45,085/22/13,SK KOTA PERDANA,1.0,389,55,222,0,105,382,7,0,KOTA PERDANA ,UNDI BIASA
46,085/22/14,SK SIMPAI,1.0,185,16,155,1,3,175,10,0,SIMPAI ,UNDI BIASA
46,085/22/14,SK SIMPAI,2.0,257,19,220,0,2,241,16,0,SIMPAI ,UNDI BIASA
47,085/22/15,SK RUNCHANG,1.0,300,13,263,2,5,283,17,0,RUNCHANG ,UNDI BIASA
47,085/22/15,SK RUNCHANG,2.0,290,9,262,0,3,274,16,0,RUNCHANG ,UNDI BIASA
47,085/22/15,SK RUNCHANG,3.0,293,12,268,0,2,282,11,0,RUNCHANG ,UNDI BIASA
48,085/22/16,SK BANDAR 2 PALOH HINAI,1.0,281,29,223,4,18,274,7,0,BANDAR DUA ,UNDI BIASA
48,085/22/16,SK BANDAR 2 PALOH HINAI,2.0,420,38,327,0,46,411,9,0,BANDAR DUA ,UNDI BIASA
49,085/23/01,SK KINCHIR,1.0,421,47,338,0,26,411,10,0,TERPAI ,UNDI BIASA
50,085/23/02,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,1.0,310,24,203,0,78,305,5,0,SALONG ,UNDI BIASA
51,085/23/03,SK MAMBANG,1.0,280,22,219,3,28,272,8,0,MAMBANG ,UNDI BIASA
51,085/23/03,SK MAMBANG,2.0,508,24,399,0,68,491,17,0,MAMBANG ,UNDI BIASA
52,085/23/04,SMK PALOH HINAI,1.0,272,11,227,0,23,261,11,0,PALOH HINAI ,UNDI BIASA
52,085/23/04,SMK PALOH HINAI,2.0,314,21,243,0,48,312,2,0,PALOH HINAI ,UNDI BIASA
52,085/23/04,SMK PALOH HINAI,3.0,293,22,225,0,46,293,0,0,PALOH HINAI ,UNDI BIASA
53,085/23/05,BALAI RAYA DAN PERPUSTAKAAN DESA KAMPUNG DUSUN,1.0,221,15,172,4,3,194,27,0,KAMPUNG DUSUN ,UNDI BIASA
53,085/23/05,BALAI RAYA DAN PERPUSTAKAAN DESA KAMPUNG DUSUN,2.0,289,21,259,1,1,282,7,0,KAMPUNG DUSUN ,UNDI BIASA
54,085/23/06,SK LKTP CHINI TIMUR 2,1.0,319,13,215,0,85,313,6,0,FELDA CHINI TIMUR 3 & 4 ,UNDI BIASA
54,085/23/06,SK LKTP CHINI TIMUR 2,2.0,385,23,217,0,144,384,1,0,FELDA CHINI TIMUR 3 & 4 ,UNDI BIASA
55,085/23/07,SK LKTP CHINI TIMUR 1,1.0,322,16,251,0,51,318,4,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
55,085/23/07,SK LKTP CHINI TIMUR 1,2.0,523,28,390,0,101,519,4,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
55,085/23/07,SK LKTP CHINI TIMUR 1,3.0,444,43,280,1,119,443,1,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
55,085/23/07,SK LKTP CHINI TIMUR 1,4.0,494,45,291,0,151,487,7,0,FELDA CHINI TIMUR 1 ,UNDI BIASA
56,085/23/08,SMK CHINI TIMUR,1.0,321,11,201,2,98,312,9,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
56,085/23/08,SMK CHINI TIMUR,2.0,398,28,223,0,142,393,5,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
56,085/23/08,SMK CHINI TIMUR,3.0,352,29,186,1,135,351,1,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
56,085/23/08,SMK CHINI TIMUR,4.0,371,33,160,0,171,364,7,0,FELDA CHINI TIMUR 2 ,UNDI BIASA
57,085/23/09,SK LKTP CHINI 3 & 5,1.0,320,10,235,1,65,311,9,0,FELDA CHINI 5 ,UNDI BIASA
57,085/23/09,SK LKTP CHINI 3 & 5,2.0,461,20,303,2,132,457,4,0,FELDA CHINI 5 ,UNDI BIASA
57,085/23/09,SK LKTP CHINI 3 & 5,3.0,401,29,220,0,149,398,3,0,FELDA CHINI 5 ,UNDI BIASA
57,085/23/09,SK LKTP CHINI 3 & 5,4.0,422,35,228,0,155,418,4,0,FELDA CHINI 5 ,UNDI BIASA
58,085/23/10,SK LKTP CHINI 1 & 4,1.0,302,29,185,0,88,302,0,0,FELDA CHINI 4 ,UNDI BIASA
58,085/23/10,SK LKTP CHINI 1 & 4,2.0,417,39,259,0,110,408,9,0,FELDA CHINI 4 ,UNDI BIASA
58,085/23/10,SK LKTP CHINI 1 & 4,3.0,350,47,194,0,108,349,1,0,FELDA CHINI 4 ,UNDI BIASA
58,085/23/10,SK LKTP CHINI 1 & 4,4.0,343,47,171,0,125,343,0,0,FELDA CHINI 4 ,UNDI BIASA
58,085/23/10,SK LKTP CHINI 1 & 4,5.0,365,32,181,0,147,360,5,0,FELDA CHINI 4 ,UNDI BIASA
59,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,1.0,312,9,188,0,95,292,20,0,FELDA CHINI 1 ,UNDI BIASA
59,085/23/11,SEKOLAH AGAMA RAKYAT (KAFA) NUR ILHAM FELDA CHINI 1,2.0,465,37,293,0,124,454,11,0,FELDA CHINI 1 ,UNDI BIASA
