Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU SULAIMAN MD DERUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) FUZIAH SALLEH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' WONG KEAN HWEE DATO' WONG KEAN HWEE Jumlah undian,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
22,083/16/01,SK KAMPUNG BELUKAR,6.0,481,226,157,98,481,0,0,KAMPUNG BELUKAR ,UNDI BIASA
22,083/16/01,SK KAMPUNG BELUKAR,7.0,488,241,131,115,487,1,0,KAMPUNG BELUKAR ,UNDI BIASA
23,083/16/02,SK KUALA PENOR,1.0,308,83,41,169,293,15,0,KUALA PENOR ,UNDI BIASA
23,083/16/02,SK KUALA PENOR,2.0,477,212,84,173,469,8,0,KUALA PENOR ,UNDI BIASA
23,083/16/02,SK KUALA PENOR,3.0,439,218,81,135,434,5,0,KUALA PENOR ,UNDI BIASA
24,083/16/03,SK CHEROK PALOH,1.0,294,79,25,181,285,9,0,CHEROK PALOH ,UNDI BIASA
24,083/16/03,SK CHEROK PALOH,2.0,466,199,69,189,457,9,0,CHEROK PALOH ,UNDI BIASA
25,083/16/04,SK UBAI,1.0,319,100,25,184,309,10,0,UBAI ,UNDI BIASA
25,083/16/04,SK UBAI,2.0,449,157,65,223,445,4,0,UBAI ,UNDI BIASA
26,083/16/05,SJK(C) POOI MING,1.0,460,154,83,213,450,10,0,KAMPUNG PAHANG ,UNDI BIASA
26,083/16/05,SK BUNUT RENDANG,1.0,324,71,105,140,316,8,0,KAMPUNG PAHANG ,UNDI BIASA
26,083/16/05,SK BUNUT RENDANG,2.0,580,259,154,162,575,5,0,KAMPUNG PAHANG ,UNDI BIASA
26,083/16/05,SK BUNUT RENDANG,3.0,521,182,210,126,518,3,0,KAMPUNG PAHANG ,UNDI BIASA
26,083/16/05,SK BUNUT RENDANG,4.0,544,226,176,140,542,2,0,KAMPUNG PAHANG ,UNDI BIASA
27,083/16/06,SMK PAYA BESAR,1.0,265,77,68,105,250,15,0,TAMAN GURU ,UNDI BIASA
27,083/16/06,SMK PAYA BESAR,2.0,539,206,154,172,532,7,0,TAMAN GURU ,UNDI BIASA
27,083/16/06,SMK PAYA BESAR,3.0,521,238,156,119,513,8,0,TAMAN GURU ,UNDI BIASA
27,083/16/06,SMK PAYA BESAR,4.0,485,209,165,109,483,2,0,TAMAN GURU ,UNDI BIASA
27,083/16/06,SMK PAYA BESAR,5.0,502,204,182,109,495,7,0,TAMAN GURU ,UNDI BIASA
