Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HAJI AWANG SOLAHUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RASHID YOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
24,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",3,396,305,25,4,60,394,2,0,BATU MANUNGGUL ,UNDI BIASA,BATU MANUNGGUL 011/18/21
24,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",4,382,316,19,1,45,381,1,0,BATU MANUNGGUL ,UNDI BIASA,BATU MANUNGGUL 011/18/21
24,011/18/21,"SEKOLAH KEBANGSAAN AYER PUTEH, KAMPUNG TEMPOYAK",5,434,363,15,4,50,432,2,0,BATU MANUNGGUL ,UNDI BIASA,BATU MANUNGGUL 011/18/21
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",1,316,156,28,5,117,306,10,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",2,398,194,52,6,142,394,4,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",3,468,269,53,5,134,461,7,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",4,438,290,36,6,103,435,3,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",5,420,300,41,1,77,419,1,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
25,011/19/01,"SEKOLAH KEBANGSAAN KUBOR PANJANG, KUBOR PANJANG",6,452,321,41,1,81,444,8,0,KUBOR PANJANG ,UNDI BIASA,KUBOR PANJANG 011/19/01
26,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",1,355,180,17,4,147,348,7,0,KAMPUNG PERUPOK ,UNDI BIASA,KAMPUNG PERUPOK 011/19/02
26,011/19/02,"SEKOLAH KEBANGSAAN BENDANG RAJA, KUBOR PANJANG",2,398,186,36,13,157,392,6,0,KAMPUNG PERUPOK ,UNDI BIASA,KAMPUNG PERUPOK 011/19/02
