Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' CIKGU AZMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO SIVARAJ CHANDRAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HAMZAH ABD RAHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR. SOFEE RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) ANANDA AK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MOHD BAKHRI BIN HAJI HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
1,UNDI POS,,1,836,439,56,1,149,8,0,653,53,130,UNDI POS,UNDI POS,UNDI POS
2,017/33/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1,49,37,6,0,6,0,0,49,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 017/33/00
3,017/34/00,"DEWAN SERBAGUNA, IBU PEJABAT POLIS DAERAH KULIM",1,22,18,2,0,2,0,0,22,0,0,UNDI AWAL,UNDI AWAL,UNDI AWAL 017/34/00
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",1,290,192,27,3,56,1,2,281,9,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",2,353,251,28,8,59,0,1,347,6,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",3,610,497,16,2,93,0,1,609,1,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",4,599,491,16,1,90,0,1,599,0,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",5,521,427,21,1,68,1,0,518,3,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",6,477,382,11,0,81,1,0,475,2,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
4,017/33/01,"SEKOLAH KEBANGSAAN GUAR LOBAK, PADANG SERAI",7,495,411,7,0,75,1,0,494,1,0,GUAR LOBAK ,UNDI BIASA,GUAR LOBAK 017/33/01
