Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK SERI SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) CIKGU ROSLAN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) RIZAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK MUHAR BIN HUSSAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
8,018/35/05,"SEKOLAH KEBANGSAAN GUNONG BONGSU, KARANGAN",3,417,43,265,4,103,415,2,0,FELDA GUNONG BONGSU ,UNDI BIASA,FELDA GUNONG BONGSU 018/35/05
8,018/35/05,"SEKOLAH KEBANGSAAN GUNONG BONGSU, KARANGAN",4,434,56,278,3,95,432,2,0,FELDA GUNONG BONGSU ,UNDI BIASA,FELDA GUNONG BONGSU 018/35/05
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",1,343,148,78,7,97,330,12,1,KARANGAN ,UNDI BIASA,KARANGAN 018/35/06
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",2,564,188,243,7,121,559,3,2,KARANGAN ,UNDI BIASA,KARANGAN 018/35/06
9,018/35/06,"SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MIN, KARANGAN",3,554,121,367,2,62,552,2,0,KARANGAN ,UNDI BIASA,KARANGAN 018/35/06
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",1,361,28,128,5,192,353,8,0,TERAP ,UNDI BIASA,TERAP 018/35/07
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",2,492,37,270,2,176,485,7,0,TERAP ,UNDI BIASA,TERAP 018/35/07
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",3,459,31,304,4,119,458,1,0,TERAP ,UNDI BIASA,TERAP 018/35/07
10,018/35/07,"SEKOLAH KEBANGSAAN TERAP, TERAP",4,508,32,364,3,109,508,0,0,TERAP ,UNDI BIASA,TERAP 018/35/07
11,018/35/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI ULAR, KULIM",1,340,140,107,5,78,330,10,0,"LADANG SUNGAI ULAR
",UNDI BIASA,"LADANG SUNGAI ULAR
018/35/08"
11,018/35/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI ULAR, KULIM",2,315,68,197,2,44,311,4,0,"LADANG SUNGAI ULAR
",UNDI BIASA,"LADANG SUNGAI ULAR
018/35/08"
11,018/35/08,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI ULAR, KULIM",3,406,60,297,2,37,396,10,0,"LADANG SUNGAI ULAR
",UNDI BIASA,"LADANG SUNGAI ULAR
018/35/08"
