Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AH CHONG @ CHONG SIN WOON,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI SHARIFFUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LOKE SIEW FOOK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
35,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,2.0,340,63,10,267,340,0,0,JALAN HAN HUI FOONG ,UNDI BIASA
35,128/12/05,SEKOLAH KEBANGSAAN DATO KLANA MAAMOR,3.0,336,48,18,269,335,1,0,JALAN HAN HUI FOONG ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,1.0,269,133,42,91,266,3,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,2.0,604,261,142,200,603,1,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,3.0,596,197,143,253,593,3,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,4.0,568,139,171,257,567,1,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,5.0,561,150,173,238,561,0,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,6.0,546,146,167,233,546,0,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,7.0,554,123,156,275,554,0,0,TAMAN PAROI JAYA ,UNDI BIASA
36,128/13/01,SEKOLAH KEBANGSAAN TAMAN PAROI JAYA,8.0,576,130,178,268,576,0,0,TAMAN PAROI JAYA ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,1.0,258,88,13,149,250,8,0,SIKAMAT ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,2.0,618,213,52,346,611,7,0,SIKAMAT ,UNDI BIASA
37,128/13/02,SEKOLAH JENIS KEBANGSAAN (CINA) KG SERI SIKAMAT,3.0,595,150,60,380,590,5,0,SIKAMAT ,UNDI BIASA
