Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRY JAMALUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) LT KOL ROSELI BIN ABDUL GANI (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
33,131/27/06,SEKOLAH KEBANGSAAN NYATOH,3.0,456,15,173,261,449,7,0,KUALA SAWAH ,UNDI BIASA
33,131/27/06,SEKOLAH KEBANGSAAN NYATOH,4.0,454,13,156,283,452,2,0,KUALA SAWAH ,UNDI BIASA
33,131/27/06,SEKOLAH KEBANGSAAN NYATOH,5.0,469,15,150,304,469,0,0,KUALA SAWAH ,UNDI BIASA
34,131/27/07,SEKOLAH KEBANGSAAN DATUK AKHIR ZAMAN,1.0,276,4,163,103,270,6,0,KAMPONG SRI LALANG ,UNDI BIASA
34,131/27/07,SEKOLAH KEBANGSAAN DATUK AKHIR ZAMAN,2.0,399,23,220,150,393,6,0,KAMPONG SRI LALANG ,UNDI BIASA
34,131/27/07,SEKOLAH KEBANGSAAN DATUK AKHIR ZAMAN,3.0,372,19,211,139,369,3,0,KAMPONG SRI LALANG ,UNDI BIASA
35,131/27/08,SEKOLAH KEBANGSAAN SEGA,1.0,277,15,210,48,273,4,0,KAMPONG SEGA ,UNDI BIASA
35,131/27/08,SEKOLAH KEBANGSAAN SEGA,2.0,336,20,220,95,335,1,0,KAMPONG SEGA ,UNDI BIASA
35,131/27/08,SEKOLAH KEBANGSAAN SEGA,3.0,330,30,215,82,327,3,0,KAMPONG SEGA ,UNDI BIASA
36,131/27/09,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SAGGA,1.0,274,15,124,129,268,6,0,PEKAN SAGGA ,UNDI BIASA
36,131/27/09,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SAGGA,2.0,265,5,110,146,261,4,0,PEKAN SAGGA ,UNDI BIASA
37,131/27/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA RANTAU,1.0,253,6,133,108,247,6,0,RANTAU ,UNDI BIASA
37,131/27/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA RANTAU,2.0,483,17,210,241,468,15,0,RANTAU ,UNDI BIASA
37,131/27/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA RANTAU,3.0,484,19,171,279,469,15,0,RANTAU ,UNDI BIASA
37,131/27/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA RANTAU,4.0,484,22,169,287,478,6,0,RANTAU ,UNDI BIASA
37,131/27/10,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA RANTAU,5.0,462,16,170,274,460,2,0,RANTAU ,UNDI BIASA
38,131/27/11,SEKOLAH KEBANGSAAN DATO' RAJA MELANA,1.0,275,10,130,120,260,15,0,LINSUM ,UNDI BIASA
38,131/27/11,SEKOLAH KEBANGSAAN DATO' RAJA MELANA,2.0,437,13,199,214,426,11,0,LINSUM ,UNDI BIASA
38,131/27/11,SEKOLAH KEBANGSAAN DATO' RAJA MELANA,3.0,385,19,168,195,382,3,0,LINSUM ,UNDI BIASA
39,131/27/12,SEKOLAH KEBANGSAAN SELIAU,1.0,302,7,199,76,282,20,0,KAMPONG SILIAU ,UNDI BIASA
39,131/27/12,SEKOLAH KEBANGSAAN SELIAU,2.0,369,10,189,167,366,3,0,KAMPONG SILIAU ,UNDI BIASA
39,131/27/12,SEKOLAH KEBANGSAAN SELIAU,3.0,323,8,144,171,323,0,0,KAMPONG SILIAU ,UNDI BIASA
40,131/27/13,DEWAN ORANG RAMAI TAMAN ANGSAMAS,1.0,328,11,188,120,319,9,0,ANGSA EMAS ,UNDI BIASA
40,131/27/13,DEWAN ORANG RAMAI TAMAN ANGSAMAS,2.0,523,32,211,269,512,11,0,ANGSA EMAS ,UNDI BIASA
40,131/27/13,DEWAN ORANG RAMAI TAMAN ANGSAMAS,3.0,516,29,226,258,513,3,0,ANGSA EMAS ,UNDI BIASA
41,131/27/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) RANTAU,1.0,310,10,109,178,297,13,0,BANDAR EKAR ,UNDI BIASA
41,131/27/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) RANTAU,2.0,511,13,163,325,501,10,0,BANDAR EKAR ,UNDI BIASA
41,131/27/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) RANTAU,3.0,481,3,93,376,472,9,0,BANDAR EKAR ,UNDI BIASA
41,131/27/14,SEKOLAH JENIS KEBANGSAAN (TAMIL) RANTAU,4.0,450,6,114,328,448,2,0,BANDAR EKAR ,UNDI BIASA
42,131/28/01,SEKOLAH KEBANGSAAN KAMPONG BATU,1.0,271,28,179,59,266,5,0,KAMPONG BATU ,UNDI BIASA
42,131/28/01,SEKOLAH KEBANGSAAN KAMPONG BATU,2.0,484,42,302,135,479,5,0,KAMPONG BATU ,UNDI BIASA
43,131/28/02,SEKOLAH KEBANGSAAN SALAK NAMA,1.0,281,15,220,31,266,15,0,SELEMAK ,UNDI BIASA
43,131/28/02,SEKOLAH KEBANGSAAN SALAK NAMA,2.0,498,62,287,143,492,6,0,SELEMAK ,UNDI BIASA
43,131/28/02,SEKOLAH KEBANGSAAN SALAK NAMA,3.0,458,49,240,165,454,4,0,SELEMAK ,UNDI BIASA
44,131/28/03,SEKOLAH KEBANGSAAN BONGEK,1.0,292,26,203,60,289,3,0,KAMPONG BONGEK ,UNDI BIASA
44,131/28/03,SEKOLAH KEBANGSAAN BONGEK,2.0,315,42,169,101,312,3,0,KAMPONG BONGEK ,UNDI BIASA
45,131/28/04,BALAI RAYA CHENGKAU ULU REMBAU,1.0,382,33,252,90,375,7,0,KAMPONG CHENGKAU ULU ,UNDI BIASA
46,131/28/05,SEKOLAH MENENGAH AGAMA HAJI MOHD.YATIM,1.0,442,36,341,64,441,1,0,KAMPONG GADONG ,UNDI BIASA
47,131/28/06,SEKOLAH KEBANGSAAN KOTA,1.0,292,22,206,59,287,5,0,KAMPONG KENDONG ,UNDI BIASA
47,131/28/06,SEKOLAH KEBANGSAAN KOTA,2.0,341,35,205,98,338,3,0,KAMPONG KENDONG ,UNDI BIASA
47,131/28/06,SEKOLAH KEBANGSAAN KOTA,3.0,331,37,190,103,330,1,0,KAMPONG KENDONG ,UNDI BIASA
