P.006_N.05_006/05/19_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/19,PADANG LIMAU ,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,1,344
P.006_N.05_006/05/19_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/19,PADANG LIMAU ,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,2,474
P.006_N.05_006/05/19_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/19,PADANG LIMAU ,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,3,518
P.006_N.05_006/05/20_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/20,PULAU NYIOR ,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",1,346
P.006_N.05_006/05/20_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/20,PULAU NYIOR ,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",2,373
P.006_N.05_006/05/20_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/20,PULAU NYIOR ,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",3,497
P.006_N.05_006/05/20_4,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/20,PULAU NYIOR ,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",4,520
P.006_N.05_006/05/21_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/21,KAMPUNG PULAU KETAM ,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",1,327
P.006_N.05_006/05/21_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/21,KAMPUNG PULAU KETAM ,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",2,368
P.006_N.05_006/05/21_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/21,KAMPUNG PULAU KETAM ,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",3,395
P.006_N.05_006/05/22_1,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/22,GELONG RAMBAI ,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",1,348
P.006_N.05_006/05/22_2,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/22,GELONG RAMBAI ,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",2,372
P.006_N.05_006/05/22_3,,NORMAL VOTE,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,006/05/22,GELONG RAMBAI ,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",3,372
P.006_N.06_006/06/01_1,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/01,PAYA KEMUNTING ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",1,330
P.006_N.06_006/06/01_2,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/01,PAYA KEMUNTING ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",2,390
P.006_N.06_006/06/01_3,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/01,PAYA KEMUNTING ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",3,521
P.006_N.06_006/06/01_4,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/01,PAYA KEMUNTING ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",4,526
P.006_N.06_006/06/01_5,,NORMAL VOTE,P.006,KUBANG PASU,N.06,JITRA,006/06/01,PAYA KEMUNTING ,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",5,609
