Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi(A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' DR. IBRAHIM ALI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) KAK LAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROF UST ZUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
25,023/15/09,SEKOLAH MENENGAH KEBANGSAAN BAROH PIAL,1,301,8,162,1,113,10,294,7,0,BUKIT TANDAK ,UNDI BIASA,BUKIT TANDAK 023/15/09
25,023/15/09,SEKOLAH MENENGAH KEBANGSAAN BAROH PIAL,2,558,11,344,2,168,26,551,6,1,BUKIT TANDAK ,UNDI BIASA,BUKIT TANDAK 023/15/09
25,023/15/09,SEKOLAH MENENGAH KEBANGSAAN BAROH PIAL,3,454,9,306,2,125,11,453,1,0,BUKIT TANDAK ,UNDI BIASA,BUKIT TANDAK 023/15/09
25,023/15/09,SEKOLAH MENENGAH KEBANGSAAN BAROH PIAL,4,539,15,329,2,173,16,535,4,0,BUKIT TANDAK ,UNDI BIASA,BUKIT TANDAK 023/15/09
26,023/15/10,SEKOLAH KEBANGSAAN KOK PAUH,1,268,2,153,0,103,10,268,0,0,KUALA ITEK ,UNDI BIASA,KUALA ITEK 023/15/10
26,023/15/10,SEKOLAH KEBANGSAAN KOK PAUH,2,407,7,232,0,152,13,404,3,0,KUALA ITEK ,UNDI BIASA,KUALA ITEK 023/15/10
26,023/15/10,SEKOLAH KEBANGSAAN KOK PAUH,3,417,4,246,2,140,21,413,4,0,KUALA ITEK ,UNDI BIASA,KUALA ITEK 023/15/10
26,023/15/10,SEKOLAH KEBANGSAAN KOK PAUH,4,427,2,240,0,170,11,423,4,0,KUALA ITEK ,UNDI BIASA,KUALA ITEK 023/15/10
27,023/15/11,SEKOLAH KEBANGSAAN LUBOK SETOL,1,240,5,126,1,96,4,232,8,0,LUBOK SETOL ,UNDI BIASA,LUBOK SETOL 023/15/11
27,023/15/11,SEKOLAH KEBANGSAAN LUBOK SETOL,2,318,4,183,1,119,8,315,3,0,LUBOK SETOL ,UNDI BIASA,LUBOK SETOL 023/15/11
27,023/15/11,SEKOLAH KEBANGSAAN LUBOK SETOL,3,386,10,262,0,99,12,383,3,0,LUBOK SETOL ,UNDI BIASA,LUBOK SETOL 023/15/11
27,023/15/11,SEKOLAH KEBANGSAAN LUBOK SETOL,4,366,8,249,0,101,7,365,1,0,LUBOK SETOL ,UNDI BIASA,LUBOK SETOL 023/15/11
27,023/15/11,SEKOLAH KEBANGSAAN LUBOK SETOL,5,424,5,291,1,115,11,423,1,0,LUBOK SETOL ,UNDI BIASA,LUBOK SETOL 023/15/11
28,023/15/12,SEKOLAH KEBANGSAAN RAHMAT,1,289,2,158,0,112,11,283,6,0,KAMPUNG RAHMAT ,UNDI BIASA,KAMPUNG RAHMAT 023/15/12
28,023/15/12,SEKOLAH KEBANGSAAN RAHMAT,2,333,2,210,2,107,11,332,1,0,KAMPUNG RAHMAT ,UNDI BIASA,KAMPUNG RAHMAT 023/15/12
