Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AIZUDDIN ARIFFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) AMIRUDDIN HAMZAH (TOK MET),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) HASMUNI BIN HASSAN (TOK MUNI),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
19,006/05/16,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",1,351,162,42,31,115,350,1,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 006/05/16
19,006/05/16,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",2,538,330,55,66,85,536,2,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 006/05/16
19,006/05/16,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",3,528,380,53,37,55,525,3,0,PULAU PISANG ,UNDI BIASA,PULAU PISANG 006/05/16
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",1,288,57,156,19,52,284,3,1,PEKAN TUNJANG ,UNDI BIASA,PEKAN TUNJANG 006/05/17
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",2,317,80,169,14,54,317,0,0,PEKAN TUNJANG ,UNDI BIASA,PEKAN TUNJANG 006/05/17
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",3,329,147,131,9,39,326,3,0,PEKAN TUNJANG ,UNDI BIASA,PEKAN TUNJANG 006/05/17
20,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",4,334,176,97,5,53,331,3,0,PEKAN TUNJANG ,UNDI BIASA,PEKAN TUNJANG 006/05/17
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",1,321,139,33,42,92,306,15,0,PULAU TIMBOL ,UNDI BIASA,PULAU TIMBOL 006/05/18
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",2,383,207,47,39,86,379,4,0,PULAU TIMBOL ,UNDI BIASA,PULAU TIMBOL 006/05/18
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",3,436,280,45,38,72,435,1,0,PULAU TIMBOL ,UNDI BIASA,PULAU TIMBOL 006/05/18
21,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",4,462,324,43,26,63,456,6,0,PULAU TIMBOL ,UNDI BIASA,PULAU TIMBOL 006/05/18
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,1,344,187,51,26,72,336,8,0,PADANG LIMAU ,UNDI BIASA,PADANG LIMAU 006/05/19
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,2,474,352,39,25,53,469,5,0,PADANG LIMAU ,UNDI BIASA,PADANG LIMAU 006/05/19
22,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,3,518,407,43,20,48,518,0,0,PADANG LIMAU ,UNDI BIASA,PADANG LIMAU 006/05/19
23,006/05/20,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",1,346,126,55,32,129,342,4,0,PULAU NYIOR ,UNDI BIASA,PULAU NYIOR 006/05/20
23,006/05/20,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",2,373,183,48,52,84,367,6,0,PULAU NYIOR ,UNDI BIASA,PULAU NYIOR 006/05/20
23,006/05/20,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",3,497,307,62,52,76,497,0,0,PULAU NYIOR ,UNDI BIASA,PULAU NYIOR 006/05/20
23,006/05/20,"SEKOLAH RENDAH AGAMA AL-AZHAR, JITRA",4,520,339,76,36,69,520,0,0,PULAU NYIOR ,UNDI BIASA,PULAU NYIOR 006/05/20
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",1,327,154,51,32,78,315,12,0,KAMPUNG PULAU KETAM ,UNDI BIASA,KAMPUNG PULAU KETAM 006/05/21
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",2,368,234,38,41,53,366,2,0,KAMPUNG PULAU KETAM ,UNDI BIASA,KAMPUNG PULAU KETAM 006/05/21
24,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN  PULAU NYIOR, JITRA",3,395,282,54,21,37,394,1,0,KAMPUNG PULAU KETAM ,UNDI BIASA,KAMPUNG PULAU KETAM 006/05/21
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",1,348,186,30,35,88,339,9,0,GELONG RAMBAI ,UNDI BIASA,GELONG RAMBAI 006/05/22
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",2,372,250,29,21,68,368,4,0,GELONG RAMBAI ,UNDI BIASA,GELONG RAMBAI 006/05/22
25,006/05/22,"SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN, TUNJANG",3,372,272,40,10,44,366,6,0,GELONG RAMBAI ,UNDI BIASA,GELONG RAMBAI 006/05/22
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",1,330,125,89,16,88,318,12,0,PAYA KEMUNTING ,UNDI BIASA,PAYA KEMUNTING 006/06/01
26,006/06/01,"SEKOLAH JENIS KEBANGSAAN (TAMIL) PAYA KEMUNTING, JITRA",2,390,186,76,27,95,384,6,0,PAYA KEMUNTING ,UNDI BIASA,PAYA KEMUNTING 006/06/01
