Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,1,318,14,188,106,3,311,7,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,2,343,20,216,96,2,334,9,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,3,433,29,271,124,3,427,6,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,4,392,23,257,106,2,388,4,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,5,405,22,285,95,0,402,3,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
18,022/11/14,SEKOLAH KEBANGSAAN GELANG MAS,6,483,36,330,114,1,481,2,0,KAMPUNG CHAT ,UNDI BIASA,KAMPUNG CHAT 022/11/14
19,022/12/01,SEKOLAH KEBANGSAAN MEKASAR,1,295,38,174,70,2,284,11,0,SAKAR ,UNDI BIASA,SAKAR 022/12/01
19,022/12/01,SEKOLAH KEBANGSAAN MEKASAR,2,321,63,207,47,2,319,2,0,SAKAR ,UNDI BIASA,SAKAR 022/12/01
19,022/12/01,SEKOLAH KEBANGSAAN MEKASAR,3,470,70,323,68,3,464,5,1,SAKAR ,UNDI BIASA,SAKAR 022/12/01
19,022/12/01,SEKOLAH KEBANGSAAN MEKASAR,4,494,50,363,73,5,491,3,0,SAKAR ,UNDI BIASA,SAKAR 022/12/01
20,022/12/02,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG DANGAR,1,290,26,174,84,2,286,4,0,KUBANG BADAK ,UNDI BIASA,KUBANG BADAK 022/12/02
20,022/12/02,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG DANGAR,2,324,31,209,76,2,318,6,0,KUBANG BADAK ,UNDI BIASA,KUBANG BADAK 022/12/02
20,022/12/02,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG DANGAR,3,395,24,299,65,4,392,3,0,KUBANG BADAK ,UNDI BIASA,KUBANG BADAK 022/12/02
20,022/12/02,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG DANGAR,4,403,38,289,73,3,403,0,0,KUBANG BADAK ,UNDI BIASA,KUBANG BADAK 022/12/02
20,022/12/02,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG DANGAR,5,497,44,374,76,2,496,1,0,KUBANG BADAK ,UNDI BIASA,KUBANG BADAK 022/12/02
21,022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,1,288,16,187,76,1,280,8,0,KUBANG BEMBAN ,UNDI BIASA,KUBANG BEMBAN 022/12/03
