Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
31,138/21/02,SEKOLAH KEBANGSAAN PEREMPUAN DURIAN DAUN,4.0,459,108,340,6,454,5,0,DURIAN DAUN ,UNDI BIASA
32,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,1.0,287,107,170,6,283,4,0,KG PADANG SEMABOK ,UNDI BIASA
32,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,2.0,510,154,334,10,498,12,0,KG PADANG SEMABOK ,UNDI BIASA
32,138/21/03,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS MELAKA,3.0,482,110,365,4,479,3,0,KG PADANG SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,1.0,267,123,133,5,261,6,0,SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,2.0,542,239,289,3,531,11,0,SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,3.0,513,230,275,4,509,4,0,SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,4.0,518,217,286,6,509,9,0,SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,5.0,511,193,311,2,506,5,0,SEMABOK ,UNDI BIASA
33,138/21/04,SEKOLAH KEBANGSAAN SEMABOK,6.0,488,215,267,3,485,3,0,SEMABOK ,UNDI BIASA
34,138/21/05,SEKOLAH KEBANGSAAN DUYONG,1.0,296,182,94,6,282,14,0,PERIGI HANG TUAH ,UNDI BIASA
34,138/21/05,SEKOLAH KEBANGSAAN DUYONG,2.0,595,335,239,3,577,18,0,PERIGI HANG TUAH ,UNDI BIASA
34,138/21/05,SEKOLAH KEBANGSAAN DUYONG,3.0,572,292,264,7,563,9,0,PERIGI HANG TUAH ,UNDI BIASA
34,138/21/05,SEKOLAH KEBANGSAAN DUYONG,4.0,528,248,261,11,520,8,0,PERIGI HANG TUAH ,UNDI BIASA
34,138/21/05,SEKOLAH KEBANGSAAN DUYONG,5.0,541,220,307,4,531,10,0,PERIGI HANG TUAH ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,1.0,288,117,167,2,286,2,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,2.0,596,293,285,2,580,16,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,3.0,591,245,328,7,580,11,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,4.0,583,202,365,6,573,10,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,5.0,546,165,366,4,535,11,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,6.0,525,178,333,8,519,6,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,7.0,525,184,324,7,515,10,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,8.0,513,168,331,8,507,6,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,9.0,513,185,317,4,506,7,0,SERI DUYONG ,UNDI BIASA
35,138/21/06,SEKOLAH KEBANGSAAN SERI DUYONG,10.0,514,194,296,11,501,11,2,SERI DUYONG ,UNDI BIASA
36,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,1.0,218,34,176,4,214,4,0,BUNGA RAYA ,UNDI BIASA
36,138/22/01,SEKOLAH JENIS KEBANGSAAN (CINA) PAY FONG 3,2.0,423,41,372,8,421,2,0,BUNGA RAYA ,UNDI BIASA
