Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD FAUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' TAJUL URUS HJ. MAT ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",2.0,570,163,161,240,564,6,0,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",3.0,551,201,121,227,549,2,0,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",4.0,510,249,101,154,504,6,0,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",5.0,461,218,131,110,459,1,1,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",6.0,444,192,143,108,443,1,0,TAMAN DESA AMAN ,UNDI BIASA
9,014/25/06,"SEKOLAH KEBANGSAAN SUNGAI LALANG, SUNGAI LALANG",7.0,481,188,180,113,481,0,0,TAMAN DESA AMAN ,UNDI BIASA
10,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",1.0,291,200,14,72,286,5,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
10,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",2.0,622,449,50,119,618,4,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
10,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",3.0,607,437,100,70,607,0,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
10,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",4.0,535,433,63,39,535,0,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
10,014/25/07,"KOLEJ VOKASIONAL SUNGAI PETANI 2, SUNGAI PETANI",5.0,563,421,90,49,560,3,0,BANDAR LAGUNA MERBOK ,UNDI BIASA
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",1.0,296,156,43,92,291,5,0,TASEK APONG ,UNDI BIASA
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",2.0,545,341,66,137,544,1,0,TASEK APONG ,UNDI BIASA
11,014/25/08,"SEKOLAH KEBANGSAAN TASEK APONG, SUNGAI PETANI",3.0,487,355,59,67,481,6,0,TASEK APONG ,UNDI BIASA
