Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KARUPAIYA MUTUSAMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD SOBRI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. LEONG YONG KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",3.0,590,354,143,85,582,8,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",4.0,582,362,153,65,580,2,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",5.0,559,365,136,58,559,0,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",6.0,535,338,147,47,532,3,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",7.0,515,286,175,53,514,1,0,TAMAN SELASIH ,UNDI BIASA
40,017/34/16,"SEKOLAH MENENGAH KEBANGSAAN TAMAN SELASIH,KULIM",8.0,572,284,236,52,572,0,0,TAMAN SELASIH ,UNDI BIASA
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",1.0,247,144,25,73,242,5,0,SIMPANG TIGA KELADI ,UNDI BIASA
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",2.0,571,377,66,124,567,4,0,SIMPANG TIGA KELADI ,UNDI BIASA
41,017/34/17,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",3.0,516,329,101,86,516,0,0,SIMPANG TIGA KELADI ,UNDI BIASA
42,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",4.0,287,179,46,62,287,0,0,KAMPUNG DUSUN ,UNDI BIASA
42,017/34/18,"SEKOLAH MENENGAH KEBANGSAAN KELADI,KULIM",5.0,477,276,117,81,474,3,0,KAMPUNG DUSUN ,UNDI BIASA
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",1.0,239,201,1,37,239,0,0,KELANG SAGO ,UNDI BIASA
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",2.0,502,426,12,62,500,2,0,KELANG SAGO ,UNDI BIASA
43,017/34/19,"SEKOLAH JENIS KEBANGSAAN (CINA) CHIO MIN (A DAN B) ,KULIM",3.0,475,402,34,36,472,3,0,KELANG SAGO ,UNDI BIASA
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",1.0,271,156,41,67,264,7,0,BANDAR PUTRA ,UNDI BIASA
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",2.0,588,390,100,96,586,2,0,BANDAR PUTRA ,UNDI BIASA
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",3.0,570,422,103,43,568,2,0,BANDAR PUTRA ,UNDI BIASA
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",4.0,522,375,104,43,522,0,0,BANDAR PUTRA ,UNDI BIASA
44,017/34/20,"SEKOLAH KEBANGSAAN AIR MERAH,KULIM",5.0,548,355,145,44,544,4,0,BANDAR PUTRA ,UNDI BIASA
45,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",1.0,309,108,96,103,307,2,0,TAMAN ANGSANA ,UNDI BIASA
45,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",2.0,624,340,185,99,624,0,0,TAMAN ANGSANA ,UNDI BIASA
45,017/34/21,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",3.0,585,266,240,79,585,0,0,TAMAN ANGSANA ,UNDI BIASA
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",4.0,305,172,92,37,301,4,0,TAMAN SEMARAK ,UNDI BIASA
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",5.0,335,222,88,25,335,0,0,TAMAN SEMARAK ,UNDI BIASA
46,017/34/22,"SEKOLAH KEBANGSAAN TAMAN SELASIH,KULIM",6.0,313,195,90,27,312,1,0,TAMAN SEMARAK ,UNDI BIASA
