Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMARULZAMAN KAMDIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFFA BIN DAHARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ SALIM SHARIF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,127/05/04,SEKOLAH KEBANGSAAN TUNKU MUDA SERTING,1.0,152,121,8,20,149,3,0,LUBOK GADONG ,UNDI BIASA
9,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,1.0,272,169,8,88,265,7,0,MAHSAN JAYA ,UNDI BIASA
9,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,2.0,514,370,9,126,505,9,0,MAHSAN JAYA ,UNDI BIASA
9,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,3.0,492,403,13,70,486,6,0,MAHSAN JAYA ,UNDI BIASA
9,127/05/05,SEKOLAH JENIS KEBANGSAAN (CINA) KG MAHSAN,4.0,479,401,12,66,479,0,0,MAHSAN JAYA ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,1.0,323,47,28,240,315,8,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,2.0,562,86,56,398,540,22,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,3.0,553,103,53,377,533,20,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,4.0,467,116,76,274,466,1,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,5.0,456,134,71,247,452,4,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,6.0,458,136,71,246,453,5,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,7.0,466,142,75,240,457,9,0,FELDA RAJA ALIAS ,UNDI BIASA
10,127/05/06,SEKOLAH KEBANGSAAN (FELDA) SERTING,8.0,460,127,65,257,449,11,0,FELDA RAJA ALIAS ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,1.0,322,62,23,231,316,6,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,2.0,567,146,50,342,538,29,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,3.0,567,101,52,407,560,7,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,4.0,510,104,41,358,503,7,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,5.0,425,155,53,216,424,1,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,6.0,451,153,46,242,441,10,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,7.0,444,135,46,256,437,7,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
11,127/05/07,SEKOLAH KEBANGSAAN (FELDA) SERTING HILIR 2,8.0,469,109,42,314,465,4,0,BANDAR BARU SERTING ILIR ,UNDI BIASA
12,127/05/08,SEKOLAH JENIS KEBANGSAAN (TAMIL & TELUGU) LADANG GEDDES,1.0,239,171,4,57,232,7,0,KAMPONG GEDDES ,UNDI BIASA
13,127/05/09,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,1.0,218,128,3,75,206,12,0,KAMPONG GEDDES TENGAH ,UNDI BIASA
