Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI JAMIL KHIR BIN BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AKHRAMSYAH BIN SANUSI JUNID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
5,012/20/02,"SEKOLAH KEBANGSAAN SUNGAI DEDAP, KOTA SARANG SEMUT",4,467,297,93,75,465,1,1,SUNGAI DEDAP,UNDI BIASA
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",1,291,178,68,39,285,6,0,GELAM TIGA,UNDI BIASA
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",2,432,248,106,77,431,1,0,GELAM TIGA,UNDI BIASA
6,012/20/03,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",3,411,262,75,71,408,2,1,GELAM TIGA,UNDI BIASA
7,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",4,309,251,32,11,294,15,0,BUKIT CHORAS,UNDI BIASA
7,012/20/04,"SEKOLAH MENENGAH AGAMA NAHDZAH, BUKIT BESAR",5,543,436,57,50,543,0,0,BUKIT CHORAS,UNDI BIASA
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",1,289,215,42,26,283,6,0,BUKIT BESAR,UNDI BIASA
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",2,604,427,86,90,603,1,0,BUKIT BESAR,UNDI BIASA
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",3,555,387,85,82,554,1,0,BUKIT BESAR,UNDI BIASA
8,012/20/05,"SEKOLAH KEBANGSAAN BUKIT BESAR, BUKIT BESAR",4,544,405,56,80,541,3,0,BUKIT BESAR,UNDI BIASA
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",1,305,157,90,54,301,4,0,SIMPANG TIGA LUAR,UNDI BIASA
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",2,569,277,183,106,566,3,0,SIMPANG TIGA LUAR,UNDI BIASA
9,012/20/06,"SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN, SIMPANG TIGA SUNGAI DAUN",3,528,320,112,95,527,1,0,SIMPANG TIGA LUAR,UNDI BIASA
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",1,289,41,106,133,280,9,0,SIMPANG TIGA,UNDI BIASA
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",2,442,115,132,194,441,1,0,SIMPANG TIGA,UNDI BIASA
10,012/20/07,"SEKOLAH JENIS KEBANGSAAN (CINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",3,427,118,143,164,425,2,0,SIMPANG TIGA,UNDI BIASA
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",1,322,132,131,49,312,10,0,SELENGKOH,UNDI BIASA
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",2,343,136,135,71,342,1,0,SELENGKOH,UNDI BIASA
11,012/20/08,"SEKOLAH KEBANGSAAN HAJI KASSIM JASIN, YAN",3,335,129,130,75,334,1,0,SELENGKOH,UNDI BIASA
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",1,294,102,139,45,286,8,0,SUNGAI DAUN,UNDI BIASA
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",2,462,184,189,84,457,5,0,SUNGAI DAUN,UNDI BIASA
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",3,437,209,137,90,436,1,0,SUNGAI DAUN,UNDI BIASA
12,012/20/09,"SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH, SIMPANG TIGA SUNGAI LIMAU",4,420,184,150,86,420,0,0,SUNGAI DAUN,UNDI BIASA
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1,301,78,126,88,292,9,0,SUNGAI LIMAU,UNDI BIASA
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2,400,131,157,108,396,4,0,SUNGAI LIMAU,UNDI BIASA
13,012/20/10,"SEKOLAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3,376,138,118,117,373,2,1,SUNGAI LIMAU,UNDI BIASA
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",1,304,118,131,46,295,9,0,KABU SEPULOH,UNDI BIASA
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",2,524,206,187,129,522,2,0,KABU SEPULOH,UNDI BIASA
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",3,493,223,153,117,493,0,0,KABU SEPULOH,UNDI BIASA
14,012/20/11,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU, SUNGAI LIMAU",4,496,244,146,103,493,3,0,KABU SEPULOH,UNDI BIASA
15,012/20/12,"SEKOLAH KEBANGSAAN SUNGAI KERING, KAMPUNG SUNGAI KERING",1,343,97,206,35,338,5,0,SUNGAI KERING,UNDI BIASA
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",1,306,133,132,37,302,4,0,SEDAKA,UNDI BIASA
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",2,541,243,198,97,538,2,1,SEDAKA,UNDI BIASA
16,012/20/13,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",3,520,272,155,79,506,14,0,SEDAKA,UNDI BIASA
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",4,299,130,126,30,286,13,0,ULU SEDAKA,UNDI BIASA
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",5,547,279,173,89,541,6,0,ULU SEDAKA,UNDI BIASA
17,012/20/14,"SEKOLAH KEBANGSAAN ULU SEDAKA, YAN",6,501,295,128,76,499,2,0,ULU SEDAKA,UNDI BIASA
18,012/20/15,"SEKOLAH MENENGAH KEBANGSAAN  BATU 17, PADANG LUMAT",1,305,133,121,47,301,4,0,PADANG LUMAT,UNDI BIASA
