Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAUFIK BIN HJ YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
50,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",4,421,140,62,217,419,2,0,BUKIT TERABAK,UNDI BIASA
51,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",1,316,223,17,76,316,0,0,SIMPANG JERAI,UNDI BIASA
51,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",2,338,243,28,65,336,2,0,SIMPANG JERAI,UNDI BIASA
51,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",3,328,233,27,66,326,2,0,SIMPANG JERAI,UNDI BIASA
52,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",1,327,174,11,138,323,4,0,KAMPUNG TANJONG,UNDI BIASA
52,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",2,583,361,32,187,580,3,0,KAMPUNG TANJONG,UNDI BIASA
52,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",3,523,314,39,169,522,1,0,KAMPUNG TANJONG,UNDI BIASA
53,016/31/21,"DEWAN ORANG RAMAI (TOKONG HINDU) KAMPUNG DARA, LADANG SUNGAI TAWAR",1,434,29,101,288,418,15,1,LADANG SUNGAI TAWAR,UNDI BIASA
54,016/31/22,"SEKOLAH MENENGAH KEBANGSAAN BAKAI, MUKIM BAKAI",1,285,40,46,191,277,8,0,BADENOCH,UNDI BIASA
54,016/31/22,"SEKOLAH MENENGAH KEBANGSAAN BAKAI, MUKIM BAKAI",2,390,126,70,179,375,15,0,BADENOCH,UNDI BIASA
55,016/31/23,"SEKOLAH  KEBANGSAAN ULU BAKAI, MALAU",1,331,232,17,78,327,4,0,ULU BAKAI,UNDI BIASA
55,016/31/23,"SEKOLAH  KEBANGSAAN ULU BAKAI, MALAU",2,393,276,19,98,393,0,0,ULU BAKAI,UNDI BIASA
56,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",1,295,91,42,153,286,9,0,PEKAN MALAU,UNDI BIASA
56,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",2,436,174,57,201,432,4,0,PEKAN MALAU,UNDI BIASA
