Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",1,277,103,147,24,274,3,0,TAMAN PASU,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",2,506,122,334,45,501,5,0,TAMAN PASU,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",3,471,99,295,75,469,2,0,TAMAN PASU,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",4,454,83,297,72,452,2,0,TAMAN PASU,UNDI BIASA
33,006/06/08,"SEKOLAH KEBANGSAAN SULTAN AHMAD TAJUDDIN, JITRA",5,468,54,345,67,466,2,0,TAMAN PASU,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",1,267,102,131,34,267,0,0,KAMPUNG TELOK NIBONG,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",2,542,111,333,91,535,7,0,KAMPUNG TELOK NIBONG,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",3,496,124,272,99,495,1,0,KAMPUNG TELOK NIBONG,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",4,451,64,302,85,451,0,0,KAMPUNG TELOK NIBONG,UNDI BIASA
34,006/06/09,"SEKOLAH KEBANGSAAN JITRA 3, JITRA",5,474,49,302,121,472,2,0,KAMPUNG TELOK NIBONG,UNDI BIASA
35,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",1,269,100,129,37,266,3,0,KAMPUNG BATU 13,UNDI BIASA
35,006/06/10,"SEKOLAH MENENGAH KEBANGSAAN PAYA KEMUNTING, JITRA",2,504,104,318,80,502,2,0,KAMPUNG BATU 13,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",1,290,80,178,30,288,2,0,TAMAN JITRA,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",2,496,81,350,58,489,6,1,TAMAN JITRA,UNDI BIASA
36,006/06/11,"SEKOLAH MENENGAH KEBANGSAAN JITRA, JITRA",3,466,57,345,62,464,2,0,TAMAN JITRA,UNDI BIASA
