Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SHAHRUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SITARUNISAH BINTI AB KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HASAN BIN ARIFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
32,091/42/05,SK LKTP SELENDANG 1,3,385,128,85,171,384,1,0,FELDA SELENDANG,UNDI BIASA
32,091/42/05,SK LKTP SELENDANG 1,4,391,159,60,172,391,0,0,FELDA SELENDANG,UNDI BIASA
32,091/42/05,SK SUNGAI MOK,1,278,0,4,270,274,4,0,FELDA SELENDANG,UNDI BIASA
33,091/42/06,SK SARANG TIONG,1,306,112,23,167,302,4,0,SARANG TIONG,UNDI BIASA
33,091/42/06,SK SARANG TIONG,2,461,176,59,223,458,3,0,SARANG TIONG,UNDI BIASA
34,091/42/07,SK JANGLAU,1,312,72,53,180,305,7,0,KAMPUNG JANGLAU,UNDI BIASA
34,091/42/07,SK JANGLAU,2,434,126,88,215,429,5,0,KAMPUNG JANGLAU,UNDI BIASA
35,091/42/08,SMK TANJUNG GEMOK,1,302,96,27,170,293,9,0,KAMPUNG JAWA,UNDI BIASA
35,091/42/08,SMK TANJUNG GEMOK,2,326,112,41,170,323,3,0,KAMPUNG JAWA,UNDI BIASA
35,091/42/08,SMK TANJUNG GEMOK,3,320,126,38,153,317,3,0,KAMPUNG JAWA,UNDI BIASA
36,091/42/09,SK TANJUNG GEMOK,1,284,64,44,171,279,5,0,ENDAU,UNDI BIASA
36,091/42/09,SK TANJUNG GEMOK,2,400,123,96,180,399,1,0,ENDAU,UNDI BIASA
36,091/42/09,SK TANJUNG GEMOK,3,361,92,140,128,360,1,0,ENDAU,UNDI BIASA
36,091/42/09,SK TANJUNG GEMOK,4,364,141,107,116,364,0,0,ENDAU,UNDI BIASA
37,091/42/10,SK PIANGGU,1,275,109,30,127,266,9,0,PIANGGU,UNDI BIASA
37,091/42/10,SK PIANGGU,2,432,176,39,213,428,4,0,PIANGGU,UNDI BIASA
37,091/42/10,SK PIANGGU,3,404,143,65,193,401,3,0,PIANGGU,UNDI BIASA
37,091/42/10,SK PIANGGU,4,387,157,48,179,384,3,0,PIANGGU,UNDI BIASA
38,091/42/11,SK DENAI,1,180,8,27,143,178,2,0,DENAI,UNDI BIASA
39,091/42/12,SMK TEKEK,1,219,49,46,115,210,9,0,TEKEK,UNDI BIASA
39,091/42/12,SMK TEKEK,2,267,81,62,120,263,4,0,TEKEK,UNDI BIASA
40,091/42/13,SK JUARA,1,163,35,22,94,151,12,0,JUARA,UNDI BIASA
41,091/42/14,BALAI RAYA KAMPUNG GENTING,1,156,22,37,95,154,2,0,KAMPUNG GENTING,UNDI BIASA
42,091/42/15,SK MUKUT,1,98,17,15,62,94,4,0,MUKUT,UNDI BIASA
