Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
32,139/27/01,SEKOLAH JENIS KEBANGSAAN (CINA) JASIN LALANG,3,300,180,29,82,291,9,0,AYER MERBAU ,UNDI BIASA
33,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,1,294,120,15,147,282,12,0,JASIN LALANG ,UNDI BIASA
33,139/27/02,SEK. REN. AGAMA (JAIM) KAMPUNG AYER MERBAU,2,518,265,44,206,515,3,0,JASIN LALANG ,UNDI BIASA
34,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,1,300,141,16,137,294,6,0,MERLIMAU UTARA ,UNDI BIASA
34,139/27/03,SEKOLAH KEBANGSAAN MERLIMAU 2,2,406,186,32,184,402,4,0,MERLIMAU UTARA ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,1,298,123,18,150,291,7,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,2,501,253,50,193,496,4,1,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,3,498,257,45,192,494,4,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,4,481,281,42,152,475,6,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,5,477,290,46,138,474,3,0,MERLIMAU PASIR ,UNDI BIASA
35,139/27/04,SEKOLAH KEBANGSAAN MERLIMAU 1,6,456,289,41,125,455,1,0,MERLIMAU PASIR ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,1,294,70,23,189,282,12,0,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,2,560,143,82,330,555,5,0,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,3,501,167,107,223,497,3,1,SEMPANG ,UNDI BIASA
36,139/27/05,SEKOLAH KEBANGSAAN SEMPANG,4,509,220,76,208,504,5,0,SEMPANG ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,1,269,108,17,142,267,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,2,518,247,40,227,514,4,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,3,519,272,61,184,517,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,4,464,256,51,155,462,2,0,PENGKALAN SAMAK ,UNDI BIASA
37,139/27/06,SEKOLAH JENIS KEBANGSAAN (CINA) MERLIMAU,5,481,280,39,157,476,4,1,PENGKALAN SAMAK ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,1,279,86,17,167,270,9,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,2,520,178,55,282,515,5,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,3,491,206,57,227,490,1,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,4,479,206,90,180,476,3,0,PERMATANG SERAI ,UNDI BIASA
38,139/27/07,SEKOLAH KEBANGSAAN MERLIMAU,5,482,198,92,186,476,6,0,PERMATANG SERAI ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,1,283,85,14,150,249,34,0,SERI MENDAPAT ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,2,444,165,51,225,441,3,0,SERI MENDAPAT ,UNDI BIASA
39,139/28/01,SEKOLAH KEBANGSAAN SERI MENDAPAT,3,431,182,45,201,428,3,0,SERI MENDAPAT ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,1,283,89,25,160,274,9,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,2,435,163,59,209,431,4,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,3,411,180,75,155,410,1,0,BATU GAJAH ,UNDI BIASA
40,139/28/02,SEKOLAH KEBANGSAAN BATU GAJAH,4,409,203,57,145,405,4,0,BATU GAJAH ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,1,271,84,28,149,261,10,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,2,555,212,83,254,549,6,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,3,544,198,113,229,540,4,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,4,508,248,93,165,506,2,0,SEBATU ,UNDI BIASA
41,139/28/03,SEKOLAH KEBANGSAAN SEBATU,5,497,218,107,166,491,6,0,SEBATU ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,1,273,75,23,164,262,11,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,2,490,162,44,278,484,6,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,3,490,167,63,256,486,3,1,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,4,461,211,80,170,461,0,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,5,441,212,54,172,438,3,0,PARIT PUTAT ,UNDI BIASA
42,139/28/04,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RAMBAI,6,476,205,71,198,474,2,0,PARIT PUTAT ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,1,292,82,23,183,288,4,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,2,493,145,60,273,478,15,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,3,476,189,81,204,474,2,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,4,460,196,87,174,457,3,0,PARIT PERAWAS ,UNDI BIASA
43,139/28/05,SEKOLAH KEBANGSAAN PARIT PENGHULU,5,454,178,81,194,453,1,0,PARIT PERAWAS ,UNDI BIASA
