Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EDDIN SYAZLEE SHITH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
52,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,1.0,291,15,108,159,282,9,0,DANGI ,UNDI BIASA
52,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,2.0,361,16,110,228,354,7,0,DANGI ,UNDI BIASA
52,129/19/03,SEKOLAH JENIS KEBANGSAAN (CINA) PEI CHUN DANGI,3.0,384,22,76,282,380,4,0,DANGI ,UNDI BIASA
53,129/19/04,SEKOLAH KEBANGSAAN DANGI,1.0,284,28,148,93,269,15,0,KAMPUNG SELARU ,UNDI BIASA
53,129/19/04,SEKOLAH KEBANGSAAN DANGI,2.0,386,39,205,136,380,6,0,KAMPUNG SELARU ,UNDI BIASA
53,129/19/04,SEKOLAH KEBANGSAAN DANGI,3.0,381,48,154,177,379,2,0,KAMPUNG SELARU ,UNDI BIASA
54,129/19/05,SEKOLAH KEBANGSAAN INAS,1.0,280,180,41,32,253,27,0,INAS ,UNDI BIASA
54,129/19/05,SEKOLAH KEBANGSAAN INAS,2.0,455,73,248,121,442,13,0,INAS ,UNDI BIASA
54,129/19/05,SEKOLAH KEBANGSAAN INAS,3.0,413,60,206,144,410,3,0,INAS ,UNDI BIASA
55,129/19/06,BALAI RAYA KAMPUNG PADANG JUAL JOHOL,1.0,196,24,116,54,194,2,0,KAMPONG PADANG JUAL ,UNDI BIASA
56,129/19/07,SEKOLAH JENIS KEBANGSAAN (CINA) YUK CHAI JOHOL,1.0,346,34,107,199,340,6,0,PEKAN JOHOL ,UNDI BIASA
57,129/19/08,SEKOLAH KEBANGSAAN UNDANG JOHOL,1.0,293,35,182,64,281,12,0,KUALA JOHOL ,UNDI BIASA
57,129/19/08,SEKOLAH KEBANGSAAN UNDANG JOHOL,2.0,507,83,247,171,501,6,0,KUALA JOHOL ,UNDI BIASA
58,129/19/09,SEKOLAH MENENGAH KEBANGSAAN DATUK UNDANG ABDUL MANAP,1.0,297,42,182,62,286,11,0,KAMPUNG NURI ,UNDI BIASA
58,129/19/09,SEKOLAH MENENGAH KEBANGSAAN DATUK UNDANG ABDUL MANAP,2.0,473,111,182,178,471,2,0,KAMPUNG NURI ,UNDI BIASA
59,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,1.0,273,21,162,81,264,9,0,AYER MAWANG ,UNDI BIASA
59,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,2.0,440,30,238,169,437,3,0,AYER MAWANG ,UNDI BIASA
59,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,3.0,421,55,171,192,418,3,0,AYER MAWANG ,UNDI BIASA
59,129/19/10,SEKOLAH JENIS KEBANGSAAN (CINA) YOKE HUA AIR MAWANG,4.0,413,73,154,185,412,1,0,AYER MAWANG ,UNDI BIASA
